Time,TotalEnergy
2.46,-1.28608e+07
2.47,-1.28608e+07
2.48,-1.28608e+07
2.49,-1.28608e+07
2.5,-1.28608e+07
2.51,-1.28608e+07
2.52,-1.28608e+07
2.53,-1.28608e+07
2.54,-1.28608e+07
2.55,-1.28608e+07
2.56,-1.28608e+07
2.57,-1.28608e+07
2.58,-1.28608e+07
2.59,-1.28608e+07
2.6,-1.28608e+07
2.61,-1.28608e+07
2.62,-1.28608e+07
2.63,-1.28608e+07
2.64,-1.28608e+07
2.65,-1.28608e+07
2.66,-1.28608e+07
2.67,-1.28608e+07
2.68,-1.28608e+07
2.69,-1.28608e+07
2.7,-1.28608e+07
2.71,-1.28608e+07
2.72,-1.28608e+07
2.73,-1.28608e+07
2.74,-1.28608e+07
2.75,-1.28608e+07
2.76,-1.28608e+07
2.77,-1.28608e+07
2.78,-1.28608e+07
2.79,-1.28608e+07
2.8,-1.28608e+07
2.81,-1.28608e+07
2.82,-1.28608e+07
2.83,-1.28608e+07
2.84,-1.28608e+07
2.85,-1.28608e+07
2.86,-1.28608e+07
2.87,-1.28608e+07
2.88,-1.28608e+07
2.89,-1.28608e+07
2.9,-1.28608e+07
2.91,-1.28608e+07
2.92,-1.28608e+07
2.93,-1.28608e+07
2.94,-1.28608e+07
2.95,-1.28608e+07
2.96,-1.28608e+07
2.97,-1.28608e+07
2.98,-1.28608e+07
2.99,-1.28608e+07
3,-1.28608e+07
3.01,-1.28608e+07
3.02,-1.28608e+07
3.03,-1.28608e+07
3.04,-1.28608e+07
3.05,-1.28608e+07
3.06,-1.28608e+07
3.07,-1.28608e+07
3.08,-1.28608e+07
3.09,-1.28608e+07
3.1,-1.28608e+07
3.11,-1.28608e+07
3.12,-1.28608e+07
3.13,-1.28608e+07
3.14,-1.28608e+07
3.15,-1.28608e+07
3.16,-1.28608e+07
3.17,-1.28608e+07
3.18,-1.28608e+07
3.19,-1.28608e+07
3.2,-1.28608e+07
3.21,-1.28608e+07
3.22,-1.28608e+07
3.23,-1.28608e+07
3.24,-1.28608e+07
3.25,-1.28608e+07
3.26,-1.28608e+07
3.27,-1.28608e+07
3.28,-1.28608e+07
3.29,-1.28608e+07
3.3,-1.28608e+07
3.31,-1.28608e+07
3.32,-1.28608e+07
3.33,-1.28608e+07
3.34,-1.28608e+07
3.35,-1.28608e+07
3.36,-1.28608e+07
3.37,-1.28608e+07
3.38,-1.28608e+07
3.39,-1.28608e+07
3.4,-1.28608e+07
3.41,-1.28608e+07
3.42,-1.28608e+07
3.43,-1.28608e+07
3.44,-1.28608e+07
3.45,-1.28608e+07
3.46,-1.28608e+07
3.47,-1.28608e+07
3.48,-1.28608e+07
3.49,-1.28608e+07
3.5,-1.28608e+07
3.51,-1.28608e+07
3.52,-1.28608e+07
3.53,-1.28608e+07
3.54,-1.28608e+07
3.55,-1.28608e+07
3.56,-1.28608e+07
3.57,-1.28608e+07
3.58,-1.28608e+07
3.59,-1.28608e+07
3.6,-1.28608e+07
3.61,-1.28608e+07
3.62,-1.28608e+07
3.63,-1.28608e+07
3.64,-1.28608e+07
3.65,-1.28608e+07
3.66,-1.28608e+07
3.67,-1.28608e+07
3.68,-1.28608e+07
3.69,-1.28608e+07
3.7,-1.28608e+07
3.71,-1.28608e+07
3.72,-1.28608e+07
3.73,-1.28608e+07
3.74,-1.28608e+07
3.75,-1.28608e+07
3.76,-1.28608e+07
3.77,-1.28608e+07
3.78,-1.28608e+07
3.79,-1.28608e+07
3.8,-1.28608e+07
3.81,-1.28608e+07
3.82,-1.28608e+07
3.83,-1.28608e+07
3.84,-1.28608e+07
